framer6_0	 117  40    63  312
framer6_1	 115  40    63  309
framer6_2	 115  40    63  309
framer6_3	 115  40    63  304
framer6_4	 118  40    63  296
framer6_5	 118  40    63  296
framer6_6	 118  40    63  296
framer6_7	 121  36    52  293
framer6_8	 121  37    52  293
framer6_9	 121  43    47  293
framer6_10	 121  48    47  293
framer6_11	 121  48    40  293
framer6_39	 184  41    39  343
framer6_40	 184  41    39  343
framer6_41	 185  41    42  344
framer6_42	 181  48    48  341
framer6_43	 187  41    45  347
framer6_44	 193  42    49  358
framer6_45	 195  42    49  361
framer6_46	 196  43    50  363
framer6_47	 198  43    50  366
framer6_48	 199  43    50  369
framer6_49	 201  43    50  372
framer6_50	 202  43    50  375
framer6_51	 206  44    45  387
framer6_52	 206  45    43  391
framer6_53	 207  44    41  394
framer6_54	 208  42    38  398
framer6_120	 164  62    61  348
framer6_121	 174  57    58  348
framer6_122	 192  41    55  334
framer6_123	 192  46    71  324
framer6_124	 199  40    61  309
framer6_125	 197  40    53  308
framer6_126	 189  43    39  304
framer6_128	 165  54    64  275
framer6_129	 159  53    68  268
framer6_130	 153  53    68  264
framer6_131	 143  49    58  259
framer6_139	 107  42    39  252
framer6_140	 101  43    38  256
framer6_141	 97  40    35  264
framer6_142	 92  40    43  259
framer6_143	 87  41    36  269
framer6_144	 79  47    44  268
framer6_146	 74  47    39  276
framer6_147	 74  47    39  276
framer6_148	 69  41    38  286
framer6_149	 66  40    47  280
framer6_150	 60  43    45  285
framer6_151	 60  40    43  296
framer6_152	 56  42    50  299
framer6_153	 56  41    51  304
framer6_154	 53  42    54  309
framer6_155	 51  42    52  326
framer6_156	 51  42    52  333
framer6_157	 51  42    49  338
framer6_200	 1  177    160  109
framer6_201	 1  189    170  109
framer6_202	 1  197    160  125
framer6_203	 1  216    133  178
framer6_204	 1  221    127  189
framer6_205	 1  227    135  189
framer6_206	 24  222    149  204
framer6_207	 29  222    149  208
framer6_208	 34  219    158  209
framer6_209	 53  206    171  215
framer6_210	 85  192    198  224
framer6_211	 93  187    207  227
framer6_212	 104  183    216  236
framer6_213	 124  173    232  247
framer6_214	 133  170    239  256
framer6_215	 144  166    245  267
framer6_216	 149  166    258  272
framer6_217	 161  170    262  304
framer6_218	 165  170    262  314
framer6_219	 166  174    262  333
framer6_220	 169  174    268  338
framer6_221	 162  184    250  385
